Starting new run: Thu Jul 06 14:59:45 2023

alphaCam;alphaDotCam;systemTime
0.005405;-0.001924;Thu Jul 06 14:59:48 2023
0.000000;-0.354324;Thu Jul 06 14:59:48 2023
0.005405;0.354927;Thu Jul 06 14:59:48 2023
0.000000;-0.355113;Thu Jul 06 14:59:48 2023
0.005405;0.355901;Thu Jul 06 14:59:48 2023
0.000000;-0.356103;Thu Jul 06 14:59:48 2023
0.005405;0.356324;Thu Jul 06 14:59:48 2023
0.000000;-0.356586;Thu Jul 06 14:59:48 2023
0.005405;0.356715;Thu Jul 06 14:59:48 2023
0.000000;-0.356766;Thu Jul 06 14:59:48 2023
0.005435;0.359197;Thu Jul 06 14:59:48 2023
0.005405;-0.001939;Thu Jul 06 14:59:48 2023
0.000000;-0.357125;Thu Jul 06 14:59:48 2023
0.005405;0.358007;Thu Jul 06 14:59:48 2023
0.000000;-0.356752;Thu Jul 06 14:59:48 2023
0.005405;0.357653;Thu Jul 06 14:59:48 2023
