Starting new run: Thu Jul 06 15:08:57 2023

alphaCam;alphaDotCam;systemTime
0.005405;0.370146;Thu Jul 06 15:09:03 2023
0.000000;-0.370123;Thu Jul 06 15:09:03 2023
0.005435;0.371904;Thu Jul 06 15:09:03 2023
0.005405;-0.002009;Thu Jul 06 15:09:03 2023
0.005435;0.002009;Thu Jul 06 15:09:03 2023
0.000000;-0.371973;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.005435;0.372294;Thu Jul 06 15:09:03 2023
0.005405;-0.002013;Thu Jul 06 15:09:03 2023
0.005405;0.000000;Thu Jul 06 15:09:03 2023
0.005435;0.002015;Thu Jul 06 15:09:03 2023
0.005435;0.000000;Thu Jul 06 15:09:03 2023
0.005405;-0.002015;Thu Jul 06 15:09:03 2023
0.005405;0.000000;Thu Jul 06 15:09:03 2023
0.005405;0.000000;Thu Jul 06 15:09:03 2023
0.000000;-0.370066;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.005405;0.370227;Thu Jul 06 15:09:03 2023
0.000000;-0.370321;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.005435;0.373451;Thu Jul 06 15:09:03 2023
0.005405;-0.002020;Thu Jul 06 15:09:03 2023
0.005464;0.004062;Thu Jul 06 15:09:03 2023
0.005435;-0.002041;Thu Jul 06 15:09:03 2023
0.005405;-0.002019;Thu Jul 06 15:09:03 2023
0.000000;-0.371696;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
0.005405;0.372858;Thu Jul 06 15:09:03 2023
0.005435;0.002028;Thu Jul 06 15:09:03 2023
0.000000;-0.375213;Thu Jul 06 15:09:03 2023
0.000000;0.000000;Thu Jul 06 15:09:03 2023
