Starting new run: Mon Jun 12 16:15:55 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.003068;0.000000;-0.003068;0.000000;0.021936;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.025676;-0.005181;-0.032717;-0.287681;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021905;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.012837;0.000000;-0.032443;-0.123283;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021875;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.012903;-0.005208;-0.032168;-0.234132;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021844;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.012902;0.000000;-0.031894;-0.122466;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021813;0.000000;37.500000;100.500000;230.500000;100.500000;0.000000;0.000000;0.000000;-0.031620;-0.175749;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021783;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.012900;-0.005208;-0.031345;-0.233294;Mon Jun 12 16:16:12 2023
0.000000;-0.306796;-0.003068;0.000000;0.021752;0.000000;37.500000;100.500000;230.500000;100.500000;0.000000;0.012898;0.000000;-1.448773;-0.121656;Mon Jun 12 16:16:12 2023
0.003068;0.306796;-0.003068;0.000000;0.021721;0.000000;37.500000;100.500000;230.500000;101.500000;-0.000090;-0.012832;-0.005181;1.242776;-0.232441;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.306796;0.021721;0.000000;37.500000;100.500000;230.500000;101.500000;-0.000090;0.000000;-0.005181;0.610746;-0.955334;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.021721;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;0.000000;-0.005181;0.093979;-0.198529;Mon Jun 12 16:16:12 2023
