Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:22:21 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.006136;0.000000;0.009204;0.000000;0.127464;0.000000;46.500000;102.500000;234.500000;102.500000;0.000000;0.803213;0.000000;1;0.082711;-0.359178;0.158996;0.072656;0;0.072656;-0.006144;-0.046432;0.803213;-0.803203;1.606314;-0.798810;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.127464;0.000000;47.500000;102.500000;235.500000;103.500000;-0.005319;-0.798938;-0.304762;1;0.082711;-0.359178;-0.032591;0.136843;0;0.136843;0.072656;-0.006144;-0.798938;0.803213;-0.803203;1.606314;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.127586;0.000000;47.500000;102.500000;234.500000;103.500000;-0.005348;-0.004272;-0.306392;1;0.082589;0.105323;-0.026927;0.138808;0;0.138808;0.136843;0.072656;-0.004272;-0.798938;0.803213;-0.803203;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.127586;0.000000;46.500000;102.500000;233.500000;103.500000;-0.005348;0.000000;-0.306392;1;0.082589;0.105323;-0.021542;0.073559;0;0.073559;0.138808;0.136843;0.000000;-0.004272;-0.798938;0.803213;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.127709;0.000000;47.500000;102.500000;234.500000;102.500000;0.000000;0.803210;0.000000;1;0.082466;-0.101018;0.143409;0.003170;0;0.003170;0.073559;0.138808;0.803210;0.000000;-0.004272;-0.798938;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.127709;0.000000;48.500000;102.500000;234.500000;103.500000;-0.005376;-0.807524;-0.308039;1;0.082466;-0.101018;-0.046778;-0.013911;0;-0.013911;0.003170;0.073559;-0.807524;0.803210;0.000000;-0.004272;Mon Jun 26 13:22:32 2023
0.003068;-0.230097;0.006136;-0.230097;0.127791;0.000000;47.500000;102.500000;234.500000;102.500000;0.000000;0.807513;0.000000;1;-0.397872;-0.007266;0.124080;0.006606;0;0.006606;-0.013911;0.003170;0.807513;-0.807524;0.803210;0.000000;Mon Jun 26 13:22:32 2023
0.003068;-0.230097;0.006136;-0.230097;0.127791;0.000000;48.500000;103.500000;234.500000;101.500000;0.010752;1.614952;0.616060;1;-0.397872;-0.007266;0.422255;0.072731;0;0.072731;0.006606;-0.013911;1.614952;0.807513;-0.807524;0.803210;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.006136;0.000000;0.127873;0.000000;47.500000;101.500000;234.500000;103.500000;-0.010695;-3.221159;-0.612766;1;-0.025334;0.492833;-0.306428;0.174945;0;0.174945;0.072731;0.006606;-3.221159;1.614952;0.807513;-0.807524;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.006136;0.000000;0.127873;0.000000;47.500000;101.500000;234.500000;103.500000;-0.010695;0.000000;-0.612766;1;-0.025334;0.492833;-0.245142;0.151105;0;0.151105;0.174945;0.072731;0.000000;-3.221159;1.614952;0.807513;Mon Jun 26 13:22:32 2023
