Starting new run: Thu Jul 06 14:47:08 2023

alphaCam;alphaDotCam;systemTime
0.005291;0.345407;Thu Jul 06 14:47:18 2023
0.000000;-0.345415;Thu Jul 06 14:47:18 2023
0.005291;0.345389;Thu Jul 06 14:47:18 2023
0.000000;-0.345398;Thu Jul 06 14:47:18 2023
0.005319;0.347205;Thu Jul 06 14:47:18 2023
-0.005263;-0.690768;Thu Jul 06 14:47:18 2023
0.005291;0.688933;Thu Jul 06 14:47:18 2023
0.005319;0.001837;Thu Jul 06 14:47:19 2023
0.000000;-0.347227;Thu Jul 06 14:47:19 2023
0.005291;0.345364;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.345350;Thu Jul 06 14:47:19 2023
0.005291;0.345363;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.345401;Thu Jul 06 14:47:19 2023
0.005291;0.345751;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.345322;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.345272;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.345170;Thu Jul 06 14:47:19 2023
0.005291;0.345145;Thu Jul 06 14:47:19 2023
0.005319;0.001836;Thu Jul 06 14:47:19 2023
0.005291;-0.001836;Thu Jul 06 14:47:19 2023
0.000000;-0.345137;Thu Jul 06 14:47:19 2023
0.005319;0.346983;Thu Jul 06 14:47:19 2023
0.000000;-0.346958;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.010638;0.693856;Thu Jul 06 14:47:19 2023
0.005291;-0.348728;Thu Jul 06 14:47:19 2023
0.005319;0.001836;Thu Jul 06 14:47:19 2023
0.000000;-0.346930;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.345012;Thu Jul 06 14:47:19 2023
0.000000;-0.345024;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005319;0.346886;Thu Jul 06 14:47:19 2023
0.005291;-0.001835;Thu Jul 06 14:47:19 2023
0.005263;-0.001816;Thu Jul 06 14:47:19 2023
0.005291;0.001816;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
-0.005263;-0.688841;Thu Jul 06 14:47:19 2023
0.000000;0.343701;Thu Jul 06 14:47:19 2023
0.005263;0.343920;Thu Jul 06 14:47:19 2023
0.000000;-0.344059;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005319;0.347927;Thu Jul 06 14:47:19 2023
0.005319;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.348054;Thu Jul 06 14:47:19 2023
0.005291;0.346323;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.010582;0.346044;Thu Jul 06 14:47:19 2023
0.005291;-0.346052;Thu Jul 06 14:47:19 2023
0.005291;0.000000;Thu Jul 06 14:47:19 2023
0.000000;-0.346310;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.346776;Thu Jul 06 14:47:19 2023
0.005319;0.001846;Thu Jul 06 14:47:19 2023
0.000000;-0.348828;Thu Jul 06 14:47:19 2023
0.005291;0.347239;Thu Jul 06 14:47:19 2023
0.000000;-0.346966;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:19 2023
0.005291;0.347252;Thu Jul 06 14:47:19 2023
0.000000;-0.347579;Thu Jul 06 14:47:19 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.349315;Thu Jul 06 14:47:20 2023
0.010582;0.345608;Thu Jul 06 14:47:20 2023
0.005291;-0.347464;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005263;-0.001829;Thu Jul 06 14:47:20 2023
0.005291;0.001829;Thu Jul 06 14:47:20 2023
0.005319;0.001848;Thu Jul 06 14:47:20 2023
0.000000;-0.349312;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.349831;Thu Jul 06 14:47:20 2023
0.005291;-0.001851;Thu Jul 06 14:47:20 2023
0.000000;-0.347945;Thu Jul 06 14:47:20 2023
0.005319;0.350080;Thu Jul 06 14:47:20 2023
0.000000;-0.349809;Thu Jul 06 14:47:20 2023
0.005319;0.349817;Thu Jul 06 14:47:20 2023
0.005291;-0.001851;Thu Jul 06 14:47:20 2023
-0.005291;-0.695962;Thu Jul 06 14:47:20 2023
0.000000;0.347954;Thu Jul 06 14:47:20 2023
0.005291;0.347927;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.001850;Thu Jul 06 14:47:20 2023
0.005291;-0.001850;Thu Jul 06 14:47:20 2023
0.000000;-0.347829;Thu Jul 06 14:47:20 2023
0.005319;0.349652;Thu Jul 06 14:47:20 2023
0.005291;-0.001850;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.001850;Thu Jul 06 14:47:20 2023
0.000000;-0.349616;Thu Jul 06 14:47:20 2023
0.005319;0.349624;Thu Jul 06 14:47:20 2023
0.010582;0.345912;Thu Jul 06 14:47:20 2023
0.005319;-0.345888;Thu Jul 06 14:47:20 2023
0.005291;-0.001850;Thu Jul 06 14:47:20 2023
0.010526;0.344026;Thu Jul 06 14:47:20 2023
0.000000;-0.691681;Thu Jul 06 14:47:20 2023
0.005319;0.349536;Thu Jul 06 14:47:20 2023
0.005319;0.000000;Thu Jul 06 14:47:20 2023
0.005291;-0.001849;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.001849;Thu Jul 06 14:47:20 2023
0.000000;-0.349486;Thu Jul 06 14:47:20 2023
0.005319;0.349460;Thu Jul 06 14:47:20 2023
0.000000;-0.349467;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.347761;Thu Jul 06 14:47:20 2023
0.005263;-0.001831;Thu Jul 06 14:47:20 2023
0.005291;0.001832;Thu Jul 06 14:47:20 2023
0.000000;-0.348264;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005319;0.350196;Thu Jul 06 14:47:20 2023
0.000000;-0.350326;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.348577;Thu Jul 06 14:47:20 2023
-0.005236;-0.693573;Thu Jul 06 14:47:20 2023
0.000000;0.344935;Thu Jul 06 14:47:20 2023
0.000000;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.348572;Thu Jul 06 14:47:20 2023
0.000000;-0.348579;Thu Jul 06 14:47:20 2023
0.005319;0.350728;Thu Jul 06 14:47:20 2023
0.005319;0.000000;Thu Jul 06 14:47:20 2023
0.005291;-0.001857;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.005291;0.000000;Thu Jul 06 14:47:20 2023
0.000000;-0.349069;Thu Jul 06 14:47:21 2023
0.005263;0.347484;Thu Jul 06 14:47:21 2023
0.000000;-0.347544;Thu Jul 06 14:47:21 2023
0.005319;0.350879;Thu Jul 06 14:47:21 2023
0.005291;-0.001856;Thu Jul 06 14:47:21 2023
0.000000;-0.349002;Thu Jul 06 14:47:21 2023
0.000000;0.000000;Thu Jul 06 14:47:21 2023
0.000000;0.000000;Thu Jul 06 14:47:21 2023
0.005291;0.348955;Thu Jul 06 14:47:21 2023
0.000000;-0.348960;Thu Jul 06 14:47:21 2023
0.005319;0.350827;Thu Jul 06 14:47:21 2023
0.000000;-0.350802;Thu Jul 06 14:47:21 2023
0.005319;0.350776;Thu Jul 06 14:47:21 2023
0.005291;-0.001856;Thu Jul 06 14:47:21 2023
0.000000;-0.348929;Thu Jul 06 14:47:21 2023
0.005291;0.348935;Thu Jul 06 14:47:21 2023
0.000000;-0.348910;Thu Jul 06 14:47:21 2023
0.005291;0.348884;Thu Jul 06 14:47:21 2023
0.000000;-0.348890;Thu Jul 06 14:47:21 2023
0.005291;0.349189;Thu Jul 06 14:47:21 2023
0.000000;-0.348901;Thu Jul 06 14:47:21 2023
0.005263;0.347040;Thu Jul 06 14:47:21 2023
0.000000;-0.347013;Thu Jul 06 14:47:21 2023
0.005291;0.349140;Thu Jul 06 14:47:21 2023
0.005291;0.000000;Thu Jul 06 14:47:21 2023
0.000000;-0.349300;Thu Jul 06 14:47:21 2023
0.000000;0.000000;Thu Jul 06 14:47:21 2023
0.000000;0.000000;Thu Jul 06 14:47:21 2023
0.005291;0.349253;Thu Jul 06 14:47:21 2023
