Starting new run: Thu Jul 06 15:11:38 2023

alphaCam;alphaDotCam;systemTime
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.351488;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.000000;-0.351669;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005263;0.350395;Thu Jul 06 15:11:45 2023
0.005291;0.001854;Thu Jul 06 15:11:45 2023
0.005263;-0.001854;Thu Jul 06 15:11:45 2023
0.000000;-0.350667;Thu Jul 06 15:11:45 2023
0.005319;0.354702;Thu Jul 06 15:11:45 2023
0.005291;-0.001877;Thu Jul 06 15:11:45 2023
0.000000;-0.352997;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.353378;Thu Jul 06 15:11:45 2023
0.005319;0.001878;Thu Jul 06 15:11:45 2023
0.005291;-0.001878;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.000000;-0.353582;Thu Jul 06 15:11:45 2023
0.005291;0.353716;Thu Jul 06 15:11:45 2023
0.000000;-0.353859;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
-0.005291;-0.353824;Thu Jul 06 15:11:46 2023
0.005291;0.708406;Thu Jul 06 15:11:46 2023
0.000000;-0.353720;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.005291;0.353665;Thu Jul 06 15:11:46 2023
0.000000;-0.353664;Thu Jul 06 15:11:46 2023
0.005291;0.353613;Thu Jul 06 15:11:46 2023
0.000000;-0.353568;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.005291;0.354767;Thu Jul 06 15:11:46 2023
0.005291;0.000000;Thu Jul 06 15:11:46 2023
0.000000;-0.354931;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.005291;0.354762;Thu Jul 06 15:11:46 2023
0.000000;-0.355114;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.005291;0.354607;Thu Jul 06 15:11:46 2023
0.000000;-0.354604;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
0.000000;0.000000;Thu Jul 06 15:11:46 2023
