Starting new run: Thu Jul 06 15:07:30 2023

alphaCam;alphaDotCam;systemTime
0.005405;-0.001920;Thu Jul 06 15:07:33 2023
0.005435;0.001920;Thu Jul 06 15:07:33 2023
0.005435;0.000000;Thu Jul 06 15:07:33 2023
0.005405;-0.001920;Thu Jul 06 15:07:33 2023
-0.005376;-0.704493;Thu Jul 06 15:07:33 2023
0.005405;0.706008;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.000000;-0.354946;Thu Jul 06 15:07:33 2023
0.005435;0.357675;Thu Jul 06 15:07:33 2023
0.005405;-0.001936;Thu Jul 06 15:07:33 2023
0.000000;-0.356557;Thu Jul 06 15:07:33 2023
0.005405;0.354761;Thu Jul 06 15:07:33 2023
0.005464;0.003878;Thu Jul 06 15:07:33 2023
0.005405;-0.003878;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.000000;-0.356225;Thu Jul 06 15:07:33 2023
0.005435;0.358345;Thu Jul 06 15:07:33 2023
0.005405;-0.001939;Thu Jul 06 15:07:33 2023
0.005435;0.001941;Thu Jul 06 15:07:33 2023
0.005405;-0.001940;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.000000;-0.357674;Thu Jul 06 15:07:33 2023
0.005435;0.359992;Thu Jul 06 15:07:33 2023
0.005435;0.000000;Thu Jul 06 15:07:33 2023
0.005405;-0.001942;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
0.010810;0.356511;Thu Jul 06 15:07:33 2023
0.005435;-0.355391;Thu Jul 06 15:07:33 2023
0.005405;-0.001945;Thu Jul 06 15:07:33 2023
0.005405;0.000000;Thu Jul 06 15:07:33 2023
