Starting new run: Tue Jun 13 13:40:20 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.006136;0.000000;0.006136;0.000000;0.013898;0.000000;38.500000;98.500000;230.500000;97.500000;0.005208;0.007263;0.298413;0.082930;0.070979;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013959;0.000000;38.500000;98.500000;230.500000;97.500000;0.005208;0.000000;0.298413;0.082381;0.045713;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.014021;0.000000;38.500000;98.500000;231.500000;96.500000;0.010362;0.697214;0.593717;0.081832;2.621585;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.014082;0.000000;38.500000;98.500000;230.500000;97.500000;0.005208;-0.697216;0.298413;0.081283;-2.328081;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.014143;0.000000;37.500000;98.500000;230.500000;96.500000;0.010362;0.697237;0.593717;0.080735;2.620565;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.014205;0.000000;37.500000;98.500000;230.500000;96.500000;0.010362;0.000000;0.593717;0.080186;0.247249;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.014266;0.000000;37.500000;98.500000;230.500000;96.500000;0.010362;0.000000;0.593717;0.079637;0.246700;Tue Jun 13 13:40:35 2023
0.009204;0.306796;0.006136;0.000000;0.014327;0.000000;37.500000;97.500000;231.500000;97.500000;0.000000;-1.401796;0.000000;1.244418;-4.933906;Tue Jun 13 13:40:35 2023
0.006136;-0.306796;0.006136;0.000000;0.014389;0.000000;37.500000;97.500000;231.500000;97.500000;0.000000;0.000000;0.000000;-0.965519;-0.164004;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;-0.306796;0.014419;0.000000;37.500000;97.500000;231.500000;97.500000;0.000000;0.000000;0.000000;0.738012;0.495469;Tue Jun 13 13:40:35 2023
0.003068;-0.306796;-0.000000;-0.306796;0.014419;0.000000;37.500000;97.500000;231.500000;97.500000;0.000000;0.000000;0.000000;-0.409664;0.513122;Tue Jun 13 13:40:35 2023
0.003068;0.000000;-0.000000;0.000000;0.014419;0.000000;39.500000;97.500000;230.500000;96.500000;0.005236;0.708288;0.299975;-0.007700;2.488358;Tue Jun 13 13:40:35 2023
0.003068;0.000000;-0.003068;-0.306796;0.014389;0.000000;37.500000;97.500000;230.500000;96.500000;0.005181;-0.007340;0.296867;0.652321;0.710880;Tue Jun 13 13:40:35 2023
0.000000;-0.306796;-0.003068;0.000000;0.014358;0.000000;37.500000;97.500000;230.500000;96.500000;0.005181;0.000000;0.296867;-1.154827;0.094039;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;-0.306796;0.014297;0.000000;39.500000;96.500000;231.500000;96.500000;0.000000;-0.700992;0.000000;0.549526;-1.836020;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.014235;0.000000;39.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-0.092018;-0.092018;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.014174;0.000000;39.500000;97.500000;231.500000;97.500000;0.000000;0.000000;0.000000;-0.091470;-0.091470;Tue Jun 13 13:40:35 2023
-0.003068;-0.306796;-0.006136;0.000000;0.014113;0.000000;38.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-1.256250;-0.090921;Tue Jun 13 13:40:35 2023
